Designator,Footprint,Quantity,Value,LCSC Part #
C10,0603,1,10uf,
"C11, C12, C13, C14, C19, C20, C21, C25, C26, C5, C6, C7, C8",0603,13,0.1uf,
"C15, C16, C17, C18",0603,4,1nf,
C22,0603,1,0.47uf,
C23,0603,1,10nf,
C24,0603,1,0.22uf,
"C3, C4",CP_Radial_D18.0mm_P7.50mm,2,2700uf,
C9,0603,1,1uf,
"D10, D4, D5, D7, D8, D9",SOD-123FL,6,SS2040FL,
"D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D24, D3, D6",0603,16,LED,
"D23, D25, D26, D27, D28",Diode_US2H,5,CUHS20S60,
F2,0603,1,FCC16501ABTP,
IC2,SOIC127P1105X220-8N,1,"TLP7820_TP4,E",
IC3,SOIC127P600X175-8N,1,MCP2562,
IC4,SOP50P490X110-10N,1,LTC4368IMS-2#PBF,
"J1, J8",AMASS_XT60-F_1x02_P7.20mm_Vertical,2,Conn_01x02,
"J2, J7",AMASS_XT60-M_1x02_P7.20mm_Vertical,2,Conn_01x02,
"J3, J4",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04,
J5,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J6,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Conn_01x02_Pin,
J9,AMASS_MR30PW-M_1x03_P3.50mm_Horizontal,1,Conn_01x03,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,jp,
"Q1, Q2","XPQR8308QB,LXHQ",2,"XPQR8308QB,LXHQ",
"R1, R10, R16, R27, R28, R29, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R5, R6, R7, R8, R9",0603,26,1k,
"R11, R12, R13, R14",RESC11050X120N,4,100Ω,
"R15, R19, R22",0603,3,100k,
"R18, R23, R26, R51, R52",0603,5,10k,
"R20, R21",0603,2,4.7k,
R24,0603,1,120,
R25,0603,1,1.6k,
R30,0603,1,100,
"R46, R49",0603,2,2k,
R47,0603,1,3k,
R48,0603,1,143k,
R53,0603,1,22k,
"RV1, RV2",Potentiometer_Bourns_3296W_Vertical,2,10k,
SW1,switch_TVAF06-A020B-R,1,SW_Push,
SW3,CJS1200A1,1,SW_SPDT_312,
"TP1, TP2, TP3",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,3,TestPoint,
"U1, U5, U8, U9",SOIC-4_4.55x2.6mm_P1.27mm,4,TLP293,
U2,DIP-6_W7.62mm_SMDSocket_SmallPads,1,TLP3546A,
U3,LQFP-32_7x7mm_P0.8mm,1,STM32G431K8Tx,
U4,SOT-23-5_HandSoldering,1,NJM12888F33,
U6,CZ3A07,1,CZ3A07,
U7,SOT-23_Handsoldering,1,AP7375,
