Designator,Mid X,Mid Y,Rotation,Layer
C10,74.4,-48.6,90.0,top
C11,48.7,-33.2875,180.0,top
C12,56.3,-17.6,90.0,top
C13,65.3,-26.7375,90.0,top
C14,66.5625,-22.7,0.0,top
C15,58.0,-36.0375,90.0,top
C16,58.0,-39.5,270.0,top
C17,53.8,-29.8,0.0,top
C18,50.3,-29.8,180.0,top
C19,48.6,-19.2,270.0,top
C20,38.6,-16.8,180.0,top
C21,38.0,-29.2,270.0,top
C22,44.4,-29.3,270.0,top
C23,48.7,-31.4,0.0,top
C24,27.9,-46.0,0.0,top
C25,27.7,-40.5,180.0,top
C26,31.30625,-46.0,0.0,top
C3,49.60556,-68.5,180.0,top
C4,69.02778,-68.5,180.0,top
C5,54.5,-19.6,90.0,top
C6,76.0,-48.6,90.0,top
C7,79.6,-36.0,0.0,top
C8,79.6,-37.6,0.0,top
C9,67.2,-48.4625,270.0,top
D10,96.2,-17.9,90.0,top
D11,18.5,-40.9,180.0,top
D12,18.525,-44.1,0.0,top
D13,77.6,-18.1925,270.0,top
D14,76.0,-18.1925,270.0,top
D15,74.4,-18.1925,270.0,top
D16,72.8,-18.2,270.0,top
D17,101.8,-41.2,180.0,top
D18,101.8,-42.8,180.0,top
D19,26.95,-18.325,270.0,top
D2,79.2,-18.1925,270.0,top
D20,28.55,-18.325,270.0,top
D21,101.8,-46.4,180.0,top
D22,76.0,-52.0,270.0,top
D23,35.0,-42.5,0.0,top
D24,22.05,-40.9,180.0,top
D25,23.75,-44.9,0.0,top
D26,22.2,-42.8,0.0,top
D27,42.3,-39.4,270.0,top
D28,42.5,-35.7,90.0,top
D3,80.8,-18.1925,270.0,top
D4,69.05,-31.6,180.0,top
D5,19.95,-26.1,180.0,top
D6,17.0125,-23.4,0.0,top
D7,34.7,-33.4,180.0,top
D8,67.65,-28.25,90.0,top
D9,93.7,-17.9,90.0,top
F2,64.6,-47.6,0.0,top
IC2,80.235,-44.8,90.0,top
IC3,44.0,-19.165,180.0,top
IC4,29.9,-43.2,0.0,top
J1,20.2,-68.37778,90.0,top
J2,99.7,-68.35,90.0,top
J3,31.0,-24.65,180.0,bottom
J4,44.6,-24.65,180.0,bottom
J5,63.11,-17.3,90.0,top
J6,60.52,-31.7,0.0,top
J7,80.55,-28.15,180.0,top
J8,23.6,-34.2,0.0,top
J9,95.85,-31.4,270.0,top
JP1,40.085,-44.845,270.0,top
Q1,23.8,-53.57778,90.0,top
Q2,35.29,-52.37778,270.0,top
R1,25.1,-42.0,90.0,top
R10,53.7125,-33.3,180.0,top
R11,95.1,-53.65,90.0,top
R12,101.166668,-53.65,90.0,top
R13,83.2,-57.8,90.0,top
R14,89.2,-57.8,90.0,top
R15,79.2,-54.8,270.0,top
R16,78.4,-52.0,0.0,top
R18,79.6,-34.4,180.0,top
R19,74.4,-36.9,180.0,top
R20,74.4,-33.7,0.0,top
R21,74.5,-44.1,0.0,top
R22,74.4,-40.7,180.0,top
R23,64.0,-30.9,270.0,top
R24,38.4,-19.8,180.0,top
R25,51.2,-32.3875,270.0,top
R26,65.55,-30.9,90.0,top
R27,20.4875,-23.4,180.0,top
R28,20.4,-28.2,0.0,top
R29,33.9,-17.1,90.0,top
R30,70.55,-29.6,180.0,top
R31,95.1,-20.8,0.0,top
R32,82.9,-20.3,270.0,top
R33,95.1,-22.4,0.0,top
R34,82.9,-16.8875,90.0,top
R35,18.6,-45.7,180.0,top
R36,77.6,-21.55,90.0,top
R37,76.0,-21.55,90.0,top
R38,74.4,-21.55,90.0,top
R39,72.8,-21.5575,90.0,top
R40,98.4,-41.2,0.0,top
R41,98.4,-42.8,0.0,top
R42,26.95,-21.725,90.0,top
R43,28.55,-21.725,90.0,top
R44,98.4,-46.4,0.0,top
R45,74.4,-52.0,270.0,top
R46,31.1875,-40.5,0.0,top
R47,38.6,-42.1,180.0,top
R48,34.5875,-40.5,0.0,top
R49,38.0,-40.5,0.0,top
R5,79.2,-21.55,90.0,top
R51,21.1,-45.5,90.0,top
R52,39.6875,-38.8,180.0,top
R53,34.74375,-46.0,0.0,top
R6,80.8,-21.55,90.0,top
R7,33.8,-31.4,0.0,top
R8,87.2,-39.8,0.0,top
R9,53.7125,-31.7,180.0,top
RV1,64.02,-36.1,0.0,top
RV2,64.01,-41.6,0.0,top
SW1,70.4,-16.7,180.0,top
SW3,33.8,-20.95,180.0,top
TP1,71.0,-35.0,0.0,top
TP2,71.0,-42.6,0.0,top
TP3,71.0,-38.8,0.0,top
U1,36.55,-36.35,270.0,top
U2,87.8,-46.0,270.0,top
U3,59.2,-24.8,90.0,top
U4,41.2,-29.3,180.0,top
U5,24.135,-25.0,0.0,top
U6,50.4,-41.905,90.0,top
U7,70.8,-48.55,180.0,top
U8,88.1,-20.3,90.0,top
U9,88.1,-16.9,90.0,top
